Dataset,Classifier,Algorithm,Runs,AccuracyMean,AccuracyStd,PrecisionMean,PrecisionStd,RecallMean,RecallStd,F1Mean,F1Std,AUCMean,AUCStd,FeaturesMean,FeaturesStd,RuntimeMean,RuntimeStd
breast,random_forest,Baseline,1,0.9736842105263158,,0.975609756097561,,0.9523809523809524,,0.963855421686747,,0.9948743386243386,,30.0,,0.2693380040000193,
breast,random_forest,CSA,5,0.9421052631578947,0.014678246079545203,0.9450636377465645,0.020436660836458377,0.8952380952380953,0.03610893068595982,0.9190924033687493,0.021433180383807746,0.9890873015873016,0.007899390995761455,14.4,3.2093613071762426,60.060903459399924,0.5915118668768355
breast,random_forest,GA,5,0.9578947368421054,0.026606580505444066,0.9647190208165817,0.029517149709793012,0.919047619047619,0.049372479412685036,0.9410955993285309,0.03778384814143698,0.9898148148148149,0.011114137083232995,8.6,2.073644135332772,53.38903655039985,0.3397467035105706
breast,random_forest,GWO,5,0.9578947368421054,0.02732002017964461,0.9603789891632086,0.03343256056353441,0.9238095238095239,0.0516178175920924,0.9413722321135329,0.03930643174232018,0.9943452380952381,0.006412701277567511,15.4,2.1908902300206643,60.432537105600204,0.591202590806227
breast,random_forest,PSO,5,0.9526315789473685,0.015935001863671028,0.9745893815213457,0.025389878059770176,0.8952380952380953,0.036108930685959835,0.9328141054245472,0.023230089374581594,0.9886574074074073,0.009041606411664745,11.2,1.9235384061671343,57.97970816299985,0.8876508497194643
breast,random_forest,WOA,5,0.9666666666666668,0.021841929119278486,0.9709592717936749,0.030809527572342812,0.9380952380952381,0.046413306403852245,0.9537126611949784,0.03141234390723886,0.9915674603174602,0.009054749715669958,13.8,2.1679483388678804,59.437798525999824,0.6581944383611044
breast,svm,Baseline,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9953703703703703,,30.0,,0.0057115770000564,
breast,svm,CSA,5,0.9631578947368421,0.014413751513293858,0.984865540963102,0.02280062241265394,0.9142857142857143,0.027147033930931885,0.9480797263126579,0.02042040816561351,0.9901455026455027,0.001708731571794124,14.0,1.7320508075688772,2.3925710809997325,0.03891368219448091
breast,svm,GA,5,0.9701754385964912,0.010001538816659128,0.984993746091307,0.013705910328060929,0.9333333333333333,0.019920476822239915,0.9583838515761329,0.01417275864765029,0.9903439153439153,0.004554617165793972,9.8,1.6431676725154982,2.1142113824000264,0.04348698150460234
breast,svm,GWO,5,0.9719298245614036,0.009609167675529237,0.9899937460913071,0.013708761861652858,0.9333333333333333,0.019920476822239894,0.960732541729701,0.013652171309699602,0.9937830687830689,0.001609875852465324,16.8,2.387467277262665,2.4713125830003264,0.09639994376847542
breast,svm,PSO,5,0.9789473684210528,0.0048045838377646505,1.0,0.0,0.9428571428571428,0.013041013273932558,0.9705510388437217,0.006926933879920886,0.9919312169312169,0.0014527700156407597,11.4,2.073644135332772,2.31013948180007,0.028870546244517015
breast,svm,WOA,5,0.9719298245614036,0.007339123039772615,0.9851219512195122,0.013584019287821205,0.9380952380952381,0.013041013273932547,0.960973433027503,0.01020739908370299,0.9931878306878307,0.003535422555794723,13.0,1.2247448713915892,2.366668731000209,0.052899029585861804
breast,xgboost,Baseline,1,0.9736842105263158,,0.975609756097561,,0.9523809523809524,,0.963855421686747,,0.9976851851851852,,30.0,,0.1000799290000031,
breast,xgboost,CSA,5,0.9789473684210526,0.013303290252722021,0.980952380952381,0.02608202654786503,0.9619047619047618,0.01304101327393248,0.9712550550634594,0.01795125337535914,0.9947089947089948,0.0038279883937798027,17.2,2.7748873851023217,21.555421396199748,0.15974943228907282
breast,xgboost,GA,5,0.968421052631579,0.02112560452419696,0.9662020905923345,0.0322087697516003,0.9476190476190476,0.026082026547865,0.9567986230636834,0.028803260756886506,0.9923280423280424,0.004742805982620973,10.0,3.6742346141747673,19.139632756400168,0.03540648356196899
breast,xgboost,GWO,5,0.9789473684210528,0.010001538816659094,0.980836236933798,0.019956841204923973,0.9619047619047618,0.01304101327393248,0.9711976827169304,0.013537662315932874,0.9956349206349205,0.002366209499999815,18.6,2.073644135332772,21.9904456713999,0.4928161585752809
breast,xgboost,PSO,5,0.9701754385964912,0.02370044927387066,0.9753600464576074,0.03062327900797213,0.9428571428571428,0.03984095364447977,0.9586799384918692,0.033059157482307554,0.9916666666666666,0.004383329253870138,11.4,2.8809720581775866,20.56453210139953,0.20786583477138992
breast,xgboost,WOA,5,0.9736842105263157,0.029747061329496862,0.9798534798534799,0.033371551571957085,0.9476190476190476,0.0516178175920924,0.9633185471269515,0.04204203077787883,0.9919973544973544,0.005691290322266043,15.0,5.338539126015656,21.54684894320035,0.0987798923679714
heart,random_forest,Baseline,1,0.8152173913043478,,0.8617021276595744,,0.7941176470588235,,0.826530612244898,,0.8821736011477762,,25.0,,0.3139167790000101,
heart,random_forest,CSA,5,0.8010869565217391,0.004861017342390859,0.8430428147845402,0.01197238664370625,0.788235294117647,0.014868383223630533,0.8145597343413241,0.005184201193596854,0.8766021042563367,0.014992952727686274,18.8,3.271085446759225,73.98520050439984,0.3029334669921181
