Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,GA,0,0.01970175438596497,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9854497354497354,7,2.157618984000237,0.004470727999887458,"[""radius_mean"", ""compactness_mean"", ""concave points_mean"", ""fractal_dimension_se"", ""texture_worst"", ""compactness_worst"", ""symmetry_worst""]",results/final/artifacts/breast__svm__ga__seed0__mask.npy,results/final/artifacts/breast__svm__ga__seed0__convergence.npy
breast,svm,GA,1,0.02070175438596497,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9950396825396826,10,2.0904167079997933,0.004896070000086183,"[""radius_mean"", ""texture_mean"", ""smoothness_mean"", ""fractal_dimension_mean"", ""area_se"", ""compactness_se"", ""fractal_dimension_se"", ""smoothness_worst"", ""concavity_worst"", ""concave points_worst""]",results/final/artifacts/breast__svm__ga__seed1__mask.npy,results/final/artifacts/breast__svm__ga__seed1__convergence.npy
breast,svm,GA,2,0.012350877192982487,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9947089947089947,11,2.0444430759998795,0.004678523000166024,"[""radius_mean"", ""texture_mean"", ""concave points_mean"", ""fractal_dimension_mean"", ""compactness_se"", ""concave points_se"", ""texture_worst"", ""perimeter_worst"", ""concavity_worst"", ""concave points_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__ga__seed2__mask.npy,results/final/artifacts/breast__svm__ga__seed2__convergence.npy
breast,svm,GA,3,0.012350877192982487,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9904100529100529,11,2.1239234230001784,0.0047145939997790265,"[""perimeter_mean"", ""area_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""texture_se"", ""fractal_dimension_se"", ""texture_worst"", ""perimeter_worst"", ""concavity_worst"", ""concave points_worst""]",results/final/artifacts/breast__svm__ga__seed3__mask.npy,results/final/artifacts/breast__svm__ga__seed3__convergence.npy
breast,svm,GA,4,0.012017543859649153,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9861111111111112,10,2.130190232000132,0.005704573999992135,"[""radius_mean"", ""texture_mean"", ""symmetry_mean"", ""texture_se"", ""concave points_se"", ""texture_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/final/artifacts/breast__svm__ga__seed4__mask.npy,results/final/artifacts/breast__svm__ga__seed4__convergence.npy
breast,random_forest,GA,0,0.029385964912280675,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9907407407407407,10,53.276103194999905,0.267969844000163,"[""radius_mean"", ""area_mean"", ""compactness_mean"", ""concavity_mean"", ""fractal_dimension_mean"", ""concavity_se"", ""texture_worst"", ""smoothness_worst"", ""concave points_worst"", ""symmetry_worst""]",results/final/artifacts/breast__random_forest__ga__seed0__mask.npy,results/final/artifacts/breast__random_forest__ga__seed0__convergence.npy
breast,random_forest,GA,1,0.01168421052631582,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9705687830687831,9,52.8982249390001,0.252848578999874,"[""concavity_mean"", ""concave points_mean"", ""area_se"", ""compactness_se"", ""symmetry_se"", ""texture_worst"", ""smoothness_worst"", ""concavity_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__random_forest__ga__seed1__mask.npy,results/final/artifacts/breast__random_forest__ga__seed1__convergence.npy
breast,random_forest,GA,2,0.02805263157894734,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9971891534391535,6,52.89322967899989,0.25246768599981806,"[""texture_mean"", ""smoothness_mean"", ""concavity_se"", ""area_worst"", ""concavity_worst"", ""concave points_worst""]",results/final/artifacts/breast__random_forest__ga__seed2__mask.npy,results/final/artifacts/breast__random_forest__ga__seed2__convergence.npy
breast,random_forest,GA,3,0.021035087719298302,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9973544973544973,11,53.64609964099964,0.27254620599978807,"[""texture_mean"", ""smoothness_mean"", ""fractal_dimension_mean"", ""concave points_se"", ""symmetry_se"", ""fractal_dimension_se"", ""texture_worst"", ""area_worst"", ""concavity_worst"", ""concave points_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__random_forest__ga__seed3__mask.npy,results/final/artifacts/breast__random_forest__ga__seed3__convergence.npy
breast,random_forest,GA,4,0.028385964912280674,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9932208994708995,7,52.935701492000135,0.2499914909999461,"[""area_mean"", ""symmetry_mean"", ""texture_se"", ""concave points_se"", ""radius_worst"", ""texture_worst"", ""smoothness_worst""]",results/final/artifacts/breast__random_forest__ga__seed4__mask.npy,results/final/artifacts/breast__random_forest__ga__seed4__convergence.npy
