Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,GWO,0,0.013684210526315821,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9937169312169312,15,2.6163963830003922,0.005341013999895949,"[""texture_mean"", ""perimeter_mean"", ""area_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""texture_se"", ""area_se"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""radius_worst"", ""texture_worst"", ""concavity_worst""]",results/final/artifacts/breast__svm__gwo__seed0__mask.npy,results/final/artifacts/breast__svm__gwo__seed0__convergence.npy
breast,svm,GWO,1,0.022701754385964973,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9957010582010581,16,2.387233054000717,0.004725838000013027,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""area_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""radius_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst""]",results/final/artifacts/breast__svm__gwo__seed1__mask.npy,results/final/artifacts/breast__svm__gwo__seed1__convergence.npy
breast,svm,GWO,2,0.02436842105263164,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9933862433862435,21,2.404695690999688,0.005373633000090194,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""area_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""texture_se"", ""smoothness_se"", ""compactness_se"", ""concave points_se"", ""symmetry_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/final/artifacts/breast__svm__gwo__seed2__mask.npy,results/final/artifacts/breast__svm__gwo__seed2__convergence.npy
breast,svm,GWO,3,0.022701754385964973,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9914021164021164,16,2.414013201000671,0.0052254379997975775,"[""radius_mean"", ""texture_mean"", ""area_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""texture_se"", ""smoothness_se"", ""concavity_se"", ""concave points_se"", ""fractal_dimension_se"", ""texture_worst"", ""smoothness_worst"", ""compactness_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__gwo__seed3__mask.npy,results/final/artifacts/breast__svm__gwo__seed3__convergence.npy
breast,svm,GWO,4,0.022701754385964973,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947,16,2.5085825030000706,0.004976160000296659,"[""radius_mean"", ""area_mean"", ""smoothness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""texture_se"", ""smoothness_se"", ""concave points_se"", ""radius_worst"", ""texture_worst"", ""concavity_worst"", ""concave points_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__gwo__seed4__mask.npy,results/final/artifacts/breast__svm__gwo__seed4__convergence.npy
breast,random_forest,GWO,0,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,15,60.25989180900069,0.28755341099986254,"[""radius_mean"", ""perimeter_mean"", ""smoothness_mean"", ""radius_se"", ""texture_se"", ""compactness_se"", ""concavity_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/final/artifacts/breast__random_forest__gwo__seed0__mask.npy,results/final/artifacts/breast__random_forest__gwo__seed0__convergence.npy
breast,random_forest,GWO,1,0.03238596491228068,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9948743386243386,19,60.16120752900042,0.2701538810006241,"[""radius_mean"", ""perimeter_mean"", ""area_mean"", ""smoothness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""perimeter_se"", ""area_se"", ""concavity_se"", ""radius_worst"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__random_forest__gwo__seed1__mask.npy,results/final/artifacts/breast__random_forest__gwo__seed1__convergence.npy
breast,random_forest,GWO,2,0.031052631578947342,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9973544973544973,15,61.02999036499932,0.31244554800014157,"[""texture_mean"", ""area_mean"", ""smoothness_mean"", ""concave points_mean"", ""symmetry_mean"", ""area_se"", ""concavity_se"", ""concave points_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""area_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst""]",results/final/artifacts/breast__random_forest__gwo__seed2__mask.npy,results/final/artifacts/breast__random_forest__gwo__seed2__convergence.npy
breast,random_forest,GWO,3,0.031052631578947342,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.998015873015873,15,59.516975513000034,0.275195457999871,"[""radius_mean"", ""smoothness_mean"", ""compactness_mean"", ""symmetry_mean"", ""texture_se"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""texture_worst"", ""perimeter_worst"", ""smoothness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__random_forest__gwo__seed3__mask.npy,results/final/artifacts/breast__random_forest__gwo__seed3__convergence.npy
breast,random_forest,GWO,4,0.03907017543859649,0.9122807017543859,0.9210526315789473,0.8333333333333334,0.875,0.9831349206349207,13,59.717348461000256,0.3319235529997968,"[""perimeter_mean"", ""area_mean"", ""smoothness_mean"", ""concavity_mean"", ""fractal_dimension_mean"", ""perimeter_se"", ""area_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""concavity_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__random_forest__gwo__seed4__mask.npy,results/final/artifacts/breast__random_forest__gwo__seed4__convergence.npy
breast,xgboost,GWO,0,0.024035087719298305,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9940476190476191,20,22.752564541000538,0.0988993719993232,"[""radius_mean"", ""perimeter_mean"", ""area_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""symmetry_mean"", ""texture_se"", ""area_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__xgboost__gwo__seed0__mask.npy,results/final/artifacts/breast__xgboost__gwo__seed0__convergence.npy
