Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,WOA,0,0.013017543859649153,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9963624338624338,13,2.4139047959997697,0.0050305760005358025,"[""radius_mean"", ""perimeter_mean"", ""area_mean"", ""concavity_mean"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""fractal_dimension_se"", ""texture_worst"", ""area_worst"", ""compactness_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__woa__seed0__mask.npy,results/final/artifacts/breast__svm__woa__seed0__convergence.npy
breast,svm,WOA,1,0.021368421052631637,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9953703703703703,12,2.3081017409995184,0.005480581000483653,"[""radius_mean"", ""texture_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""texture_se"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""smoothness_worst"", ""concavity_worst"", ""concave points_worst""]",results/final/artifacts/breast__svm__woa__seed1__mask.npy,results/final/artifacts/breast__svm__woa__seed1__convergence.npy
breast,svm,WOA,2,0.021701754385964972,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9923941798941799,13,2.384669326000221,0.005627640000056999,"[""area_mean"", ""smoothness_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""perimeter_se"", ""concavity_se"", ""fractal_dimension_se"", ""texture_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__woa__seed2__mask.npy,results/final/artifacts/breast__svm__woa__seed2__convergence.npy
breast,svm,WOA,3,0.022368421052631638,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9943783068783069,15,2.3989958450001723,0.0053851169996050885,"[""radius_mean"", ""smoothness_mean"", ""compactness_mean"", ""concave points_mean"", ""symmetry_mean"", ""concavity_se"", ""concave points_se"", ""symmetry_se"", ""fractal_dimension_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""concavity_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__woa__seed3__mask.npy,results/final/artifacts/breast__svm__woa__seed3__convergence.npy
breast,svm,WOA,4,0.021368421052631637,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9874338624338623,12,2.30110156200044,0.005046471000241581,"[""texture_mean"", ""perimeter_mean"", ""concave points_mean"", ""symmetry_mean"", ""perimeter_se"", ""smoothness_se"", ""fractal_dimension_se"", ""texture_worst"", ""compactness_worst"", ""concavity_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__svm__woa__seed4__mask.npy,results/final/artifacts/breast__svm__woa__seed4__convergence.npy
breast,random_forest,WOA,0,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,15,59.16988479799966,0.2662954349998472,"[""radius_mean"", ""perimeter_mean"", ""smoothness_mean"", ""radius_se"", ""texture_se"", ""compactness_se"", ""concavity_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/final/artifacts/breast__random_forest__woa__seed0__mask.npy,results/final/artifacts/breast__random_forest__woa__seed0__convergence.npy
breast,random_forest,WOA,1,0.031052631578947342,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9975198412698413,15,58.44132515700039,0.2896762009995655,"[""radius_mean"", ""smoothness_mean"", ""concavity_mean"", ""radius_se"", ""texture_se"", ""perimeter_se"", ""smoothness_se"", ""concavity_se"", ""concave points_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""concavity_worst"", ""concave points_worst"", ""fractal_dimension_worst""]",results/final/artifacts/breast__random_forest__woa__seed1__mask.npy,results/final/artifacts/breast__random_forest__woa__seed1__convergence.npy
breast,random_forest,WOA,2,0.029385964912280675,0.9298245614035088,0.9473684210526315,0.8571428571428571,0.9,0.9781746031746031,10,59.34994692700002,0.26578514799984987,"[""texture_mean"", ""area_mean"", ""smoothness_mean"", ""compactness_mean"", ""concave points_mean"", ""texture_se"", ""perimeter_se"", ""concave points_se"", ""concavity_worst"", ""symmetry_worst""]",results/final/artifacts/breast__random_forest__woa__seed2__mask.npy,results/final/artifacts/breast__random_forest__woa__seed2__convergence.npy
breast,random_forest,WOA,3,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9976851851851852,15,58.70831040400026,0.26639229400007025,"[""texture_mean"", ""perimeter_mean"", ""compactness_mean"", ""concave points_mean"", ""symmetry_mean"", ""smoothness_se"", ""concavity_se"", ""concave points_se"", ""fractal_dimension_se"", ""radius_worst"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""symmetry_worst""]",results/final/artifacts/breast__random_forest__woa__seed3__mask.npy,results/final/artifacts/breast__random_forest__woa__seed3__convergence.npy
breast,random_forest,WOA,4,0.030719298245614007,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9861111111111112,14,60.137342981000074,0.2940332849993865,"[""texture_mean"", ""area_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""texture_se"", ""perimeter_se"", ""smoothness_se"", ""compactness_se"", ""symmetry_se"", ""fractal_dimension_se"", ""texture_worst"", ""smoothness_worst"", ""concavity_worst""]",results/final/artifacts/breast__random_forest__woa__seed4__mask.npy,results/final/artifacts/breast__random_forest__woa__seed4__convergence.npy
