Dataset,Classifier,Algorithm,Runs,AccuracyMean,AccuracyStd,PrecisionMean,PrecisionStd,RecallMean,RecallStd,F1Mean,F1Std,AUCMean,AUCStd,FeaturesMean,FeaturesStd,RuntimeMean,RuntimeStd
breast,random_forest,Baseline,1,0.9736842105263158,,0.975609756097561,,0.9523809523809524,,0.963855421686747,,0.9948743386243386,,30.0,,0.2844219970002086,
breast,random_forest,CSA,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9983465608465608,,15.0,,5.732783622999705,
breast,random_forest,GA,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9983465608465608,,15.0,,4.267845415000011,
breast,random_forest,GWO,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9983465608465608,,15.0,,5.717014490999645,
breast,random_forest,PSO,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9983465608465608,,15.0,,5.598557673999949,
breast,random_forest,WOA,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9983465608465608,,15.0,,5.683982081999602,
breast,svm,Baseline,1,0.9824561403508772,,1.0,,0.9523809523809524,,0.975609756097561,,0.9953703703703703,,30.0,,0.010912325999925,
breast,svm,CSA,1,0.9736842105263158,,0.975609756097561,,0.9523809523809524,,0.963855421686747,,0.9914021164021164,,16.0,,0.21568215800016322,
breast,svm,GA,1,0.9736842105263158,,1.0,,0.9285714285714286,,0.9629629629629628,,0.9947089947089948,,15.0,,0.18968667299986908,
breast,svm,GWO,1,0.9649122807017544,,0.975,,0.9285714285714286,,0.951219512195122,,0.9897486772486772,,17.0,,0.22174806299972258,
breast,svm,PSO,1,0.9649122807017544,,0.975,,0.9285714285714286,,0.951219512195122,,0.9943783068783068,,14.0,,0.210849123999651,
breast,svm,WOA,1,0.9473684210526316,,0.9736842105263158,,0.8809523809523809,,0.925,,0.9930555555555556,,14.0,,0.2146941650003099,
breast,xgboost,Baseline,1,0.9736842105263158,,0.975609756097561,,0.9523809523809524,,0.963855421686747,,0.9976851851851852,,30.0,,0.098014583999884,
breast,xgboost,CSA,1,0.9649122807017544,,0.975,,0.9285714285714286,,0.951219512195122,,0.9970238095238096,,18.0,,2.4821216050004296,
breast,xgboost,GA,1,0.9473684210526316,,0.95,,0.9047619047619048,,0.926829268292683,,0.9887566137566136,,13.0,,1.9136244269993765,
breast,xgboost,GWO,1,0.9473684210526316,,0.9090909090909092,,0.9523809523809524,,0.9302325581395348,,0.984126984126984,,17.0,,2.448445821999939,
breast,xgboost,PSO,1,0.9385964912280702,,0.9069767441860463,,0.9285714285714286,,0.9176470588235294,,0.99239417989418,,14.0,,2.4580241180001394,
breast,xgboost,WOA,1,0.9385964912280702,,0.9487179487179488,,0.8809523809523809,,0.9135802469135802,,0.9785052910052908,,14.0,,2.464450843999657,
heart,random_forest,Baseline,1,0.8152173913043478,,0.8617021276595744,,0.7941176470588235,,0.826530612244898,,0.8821736011477762,,25.0,,0.3144861569999193,
heart,random_forest,CSA,1,0.7989130434782609,,0.8571428571428571,,0.7647058823529411,,0.8082901554404145,,0.8556910569105692,,12.0,,7.011675296999783,
heart,random_forest,GA,1,0.7880434782608695,,0.8247422680412371,,0.7843137254901961,,0.8040201005025126,,0.8691415590626494,,14.0,,5.343394831000296,
heart,random_forest,GWO,1,0.782608695652174,,0.8297872340425532,,0.7647058823529411,,0.7959183673469388,,0.8686035389765663,,16.0,,6.985363220000181,
heart,random_forest,PSO,1,0.7717391304347826,,0.8125,,0.7647058823529411,,0.7878787878787878,,0.8381755141080822,,12.0,,6.986073594000118,
heart,random_forest,WOA,1,0.7880434782608695,,0.8315789473684211,,0.7745098039215687,,0.8020304568527918,,0.8550932568149211,,12.0,,6.91869426699941,
heart,svm,Baseline,1,0.7934782608695652,,0.82,,0.803921568627451,,0.8118811881188119,,0.8858201817312291,,25.0,,0.0257373990002633,
heart,svm,CSA,1,0.782608695652174,,0.8229166666666666,,0.7745098039215687,,0.797979797979798,,0.8731468197034912,,15.0,,0.45156973200028,
heart,svm,GA,1,0.8097826086956522,,0.845360824742268,,0.803921568627451,,0.8241206030150754,,0.8813964610234337,,13.0,,0.34312639199970363,
heart,svm,GWO,1,0.8152173913043478,,0.8469387755102041,,0.8137254901960784,,0.83,,0.898194643711143,,15.0,,0.44751394100012465,
heart,svm,PSO,1,0.8152173913043478,,0.8469387755102041,,0.8137254901960784,,0.83,,0.8677666188426589,,11.0,,0.4678319650001867,
heart,svm,WOA,1,0.7989130434782609,,0.8421052631578947,,0.7843137254901961,,0.8121827411167513,,0.8890483022477284,,14.0,,0.4760143729995433,
heart,xgboost,Baseline,1,0.7880434782608695,,0.8247422680412371,,0.7843137254901961,,0.8040201005025126,,0.8908417025346724,,25.0,,0.1174973759998465,
heart,xgboost,CSA,1,0.7717391304347826,,0.8125,,0.7647058823529411,,0.7878787878787878,,0.8825920612147298,,19.0,,2.0596642350001275,
heart,xgboost,GA,1,0.7934782608695652,,0.8478260869565217,,0.7647058823529411,,0.8041237113402062,,0.8815160210425633,,12.0,,1.6076798239996606,
heart,xgboost,GWO,1,0.7717391304347826,,0.8333333333333334,,0.7352941176470589,,0.78125,,0.8898254423720707,,15.0,,2.0860220000004115,
